,precio,fecha_constr,lat,lon
1,1150000,1960.0,41.3997160,2.1700627
2,399000,1934.0,41.3986358,2.1696693
11,470000,1973.0,41.3942577,2.1690526
12,780000,1900.0,41.3954650,2.1710700
13,380000,1976.0,41.3986556,2.1780983
17,425000,1885.0,41.3895216,2.1716008
18,450000,1954.0,41.3990413,2.1702848
23,420000,1967.0,41.3991176,2.1713925
24,477000,1984.0,41.3945306,2.1770221
31,1800000,1936.0,41.3949692,2.1584507
32,425000,1900.0,41.3905160,2.1631105
33,545000,1894.0,41.3948900,2.1682600
35,760000,1900.0,41.3879542,2.1659507
38,950000,1898.0,41.3995276,2.1738732
40,1490000,1890.0,41.3929118,2.1778242
43,520000,1900.0,41.3934545,2.1654360
44,1650000,1970.0,41.3970410,2.1611987
46,2550000,1890.0,41.3896690,2.1674723
47,415000,1940.0,41.3989461,2.1714486
49,1175000,1900.0,41.3891940,2.1716040
51,1700000,1998.0,41.3877074,2.1689538
52,425000,1885.0,41.3885693,2.1745224
53,2145000,2021.0,41.3926600,2.1772000
56,1600000,1900.0,41.3977887,2.1663656
57,1040000,1970.0,,
58,365000,1936.0,41.4021605,2.1665852
59,325100,1975.0,41.3965016,2.1713492
61,1665000,2016.0,41.3952601,2.1597475
64,850000,1890.0,41.3926881,2.1704111
65,535000,1972.0,41.3975361,2.1732947
70,600000,1900.0,41.3931952,2.1645055
71,456000,1910.0,41.3923292,2.1747494
73,486000,2005.0,41.3938555,2.1758780
74,1140000,1900.0,41.3926088,2.1679067
77,1600000,1900.0,41.3920347,2.1617168
79,644000,1900.0,41.4000207,2.1660551
82,2550000,1890.0,41.3896698,2.1674685
83,949000,1945.0,,
87,445000,1972.0,41.3964952,2.1720612
88,720000,1980.0,41.3958975,2.1758874
89,1269000,1920.0,41.3914591,2.1693993
90,575000,1936.0,41.3902628,2.1695022
91,990000,1936.0,41.3972185,2.1561652
92,2200000,1885.0,41.3935423,2.1594261
93,795000,1999.0,41.3870386,2.1678770
94,2500000,2019.0,41.3927367,2.1645709
95,250000,1972.0,41.4008964,2.1657813
96,520000,1936.0,41.3905537,2.1625544
97,430000,1972.0,41.4077418,2.1588417
101,330000,1930.0,41.4016319,2.1704734
106,389000,1980.0,41.3958886,2.1758635
107,978000,1918.0,41.3894343,2.1667559
108,1382000,1900.0,41.3896403,2.1731145
109,820000,1900.0,41.3900698,2.1707279
111,1195000,1950.0,41.3979119,2.1664186
113,445000,2006.0,41.3958087,2.1702457
114,895000,1936.0,41.4005278,2.1688577
115,420000,1926.0,41.3903162,2.1767612
116,485000,1970.0,41.3883381,2.1690919
117,485000,1936.0,41.3904506,2.1626142
120,2200000,1920.0,41.3943800,2.1669207
121,795000,2006.0,41.3937529,2.1761257
123,425000,1885.0,41.3895216,2.1716008
124,990000,1936.0,41.3879170,2.1699187
127,390000,1973.0,41.3890543,2.1750452
128,710000,1900.0,41.3955477,2.1703478
129,4500000,1900.0,41.3879805,2.1701411
132,1960000,1910.0,41.3879721,2.1678533
133,1350000,1900.0,41.3930849,2.1604227
134,485000,1936.0,41.3906600,2.1626209
136,795000,2006.0,41.3938167,2.1763086
137,950000,1898.0,41.3981593,2.1715761
138,318000,1970.0,41.3976796,2.1753698
140,730000,1900.0,41.3909063,2.1726757
141,485000,1936.0,41.3885848,2.1652312
142,670000,2001.0,41.3915331,2.1705750
143,370000,1969.0,41.3978637,2.1671409
144,764800,1936.0,41.3934585,2.1616729
146,375000,1973.0,41.3986769,2.1646882
147,680000,1975.0,41.3979838,2.1731694
148,685400,1900.0,41.4000207,2.1660551
149,1490000,1890.0,41.3907678,2.1760541
150,298000,1972.0,41.3994143,2.1728485
152,555000,1894.0,41.3948900,2.1682600
153,1135000,1900.0,41.3894825,2.1628644
154,685750,1930.0,41.3965669,2.1599147
156,890000,1999.0,41.3880627,2.1690864
157,450000,1954.0,41.3990125,2.1699486
158,530000,1973.0,41.3976618,2.1634906
159,840000,1910.0,41.3889474,2.1636359
161,1200000,1936.0,41.3959574,2.1595166
162,485000,1936.0,41.3906400,2.1626100
163,990000,1936.0,41.3972006,2.1561771
164,425000,1885.0,41.3914260,2.1692180
165,1500000,1998.0,41.3951589,2.1605410
166,360000,1975.0,41.4020334,2.1644825
167,895000,1936.0,41.3980394,2.1640196
169,650000,1964.0,41.4028851,2.1646923
170,700000,1977.0,41.3955073,2.1754156
171,849000,1900.0,41.3978695,2.1646531
172,445000,1890.0,41.3892276,2.1630338
173,1350000,1900.0,41.3929135,2.1606578
174,375000,1973.0,41.3994864,2.1625845
175,445000,1972.0,41.3976049,2.1738539
176,375000,1973.0,41.3985558,2.1625161
177,375000,1973.0,41.3965838,2.1673228
179,375000,1973.0,41.3975719,2.1633708
180,375000,1973.0,41.3984963,2.1643859
181,680000,1900.0,41.3989427,2.1647736
182,745000,1926.0,41.3996013,2.1657991
183,978000,1918.0,41.3869190,2.1618826
184,2550000,1890.0,41.3896690,2.1674720
185,713000,1894.0,41.3948900,2.1682600
187,320000,1966.0,41.3999455,2.1732741
188,295000,1966.0,41.4033020,2.1775060
189,775000,1900.0,41.3896265,2.1701805
190,525000,1955.0,41.3951949,2.1761803
191,695000,1900.0,41.3988978,2.1647018
192,890000,1980.0,41.3918992,2.1700579
193,375000,1973.0,41.3987100,2.1646600
194,870000,1977.0,41.3955406,2.1753845
195,713000,1894.0,41.3948900,2.1682600
196,720000,1890.0,41.3927526,2.1703725
197,430000,1972.0,41.3992081,2.1753904
198,415000,1960.0,41.3934770,2.1673470
200,3000000,1930.0,41.3954949,2.1613814
201,1485000,1900.0,41.3913900,2.1627600
202,1300000,1917.0,41.3950600,2.1582600
204,740000,1900.0,41.3947188,2.1558355
205,485000,1936.0,41.3896898,2.1596633
206,640000,1900.0,41.3947035,2.1557184
208,859000,1920.0,41.3979764,2.1726521
209,760000,1900.0,41.3892600,2.1636350
210,795000,1999.0,41.3896617,2.1710620
211,485000,1936.0,41.3919715,2.1642134
212,1245000,1879.0,41.3894795,2.1656679
213,425000,1885.0,41.3897664,2.1709461
214,425000,1885.0,41.3873476,2.1743428
216,339000,1981.0,41.3989234,2.1741603
218,359000,2007.0,41.3985062,2.1704607
219,12000000,2006.0,41.3968179,2.1620607
220,699000,1900.0,41.3896993,2.1758321
221,335000,1970.0,41.3972815,2.1744678
222,375000,1973.0,41.3963620,2.1676063
223,835000,1970.0,41.3957296,2.1691143
224,950000,1998.0,41.3979388,2.1719197
225,860000,1970.0,41.3942928,2.1724048
226,1175000,1906.0,41.3901050,2.1725885
227,485000,1936.0,41.3907210,2.1627030
228,375000,1973.0,41.3975747,2.1635347
229,1950000,1999.0,41.3867870,2.1675418
230,670000,1978.0,41.3880400,2.1700100
233,370000,1969.0,41.4002460,2.1677812
234,1000000,1945.0,41.3893442,2.1648270
238,375000,1973.0,41.3985300,2.1642123
239,990000,1945.0,41.3876734,2.1668985
240,740000,1930.0,41.3983512,2.1693632
242,425000,1885.0,41.3894966,2.1715604
243,1350000,2015.0,41.3909720,2.1726670
244,1175000,1900.0,41.3893071,2.1715873
245,920000,1960.0,41.3952141,2.1646933
246,485000,1936.0,41.3906061,2.1625529
247,375000,1973.0,41.4001052,2.1664486
248,375000,1973.0,41.4003455,2.1624160
249,375000,1973.0,41.3981893,2.1635572
250,375000,1973.0,41.4000872,2.1664246
251,690000,1900.0,41.3946037,2.1558886
252,616000,1978.0,41.3991436,2.1630094
253,545000,1890.0,41.3920099,2.1566087
254,949000,1945.0,41.3878145,2.1670287
257,644000,1920.0,41.3996385,2.1674082
259,650000,1910.0,41.3923152,2.1658366
260,420000,1926.0,41.3912056,2.1778732
261,445000,1972.0,41.3992530,2.1754383
262,350000,1900.0,41.3996767,2.1652941
263,370000,1969.0,41.4001220,2.1663646
264,570000,1890.0,41.3893150,2.1630356
265,915000,1940.0,41.3980600,2.1634600
266,425000,1973.0,41.3987375,2.1646530
267,950000,1898.0,,
269,430000,1972.0,41.3993429,2.1755580
271,978000,1918.0,,
274,6000000,1960.0,41.3956011,2.1622887
275,375000,1973.0,41.3986963,2.1646523
276,380000,1969.0,41.3986302,2.1659480
277,649000,1900.0,41.3902710,2.1650370
278,978000,1918.0,41.3880130,2.1649971
279,430000,1972.0,41.3992710,2.1754742
280,430000,1972.0,41.3993339,2.1755580
281,1390000,1900.0,41.3938367,2.1560130
282,445000,1972.0,41.3991452,2.1753065
284,1350000,1950.0,41.3951200,2.1748400
285,880000,1920.0,41.3917196,2.1660529
286,920000,1960.0,41.3933915,2.1669430
287,950000,1898.0,41.3958445,2.1745918
288,640000,1900.0,41.3894825,2.1628644
289,1400000,1900.0,41.3938094,2.1754515
290,647000,1936.0,41.3973037,2.1712073
291,430000,1972.0,41.3976952,2.1739140
292,445000,1972.0,41.3955969,2.1764442
293,1495000,2006.0,41.3953627,2.1602645
294,375000,2007.0,41.3967819,2.1726043
296,950000,1898.0,41.3994737,2.1737894
297,990000,1920.0,41.3933639,2.1659388
298,560000,1892.0,41.3882546,2.1682385
299,3775000,1930.0,41.3969794,2.1640659
300,2950000,1930.0,41.3969794,2.1640659
303,485000,1936.0,41.3922590,2.1646085
304,1250000,1900.0,41.3897754,2.1625630
305,375000,1973.0,41.3974372,2.1631912
306,950000,1945.0,41.3892544,2.1688621
307,1390000,1900.0,41.3945753,2.1561313
308,978000,1918.0,,
310,430000,1972.0,41.3977319,2.1735511
311,682000,1900.0,41.3999900,2.1660400
312,445000,1890.0,41.3910245,2.1610209
313,445000,1972.0,41.3976952,2.1739140
314,499000,1900.0,41.3966620,2.1689170
318,430000,1972.0,41.3976952,2.1739140
319,310000,1936.0,41.3975334,2.1740076
321,430000,1972.0,41.3975029,2.1735762
322,950000,1898.0,41.3977902,2.1720652
324,1345000,1876.0,41.3926595,2.1649015
326,349000,1966.0,41.4002993,2.1758238
327,360000,1962.0,41.3985370,2.1736873
328,485000,1936.0,41.3920434,2.1643092
329,425000,1973.0,41.4005212,2.1623611
330,835000,1970.0,41.3942840,2.1724062
331,525000,1910.0,41.3981182,2.1702221
332,590000,2020.0,41.3932961,2.1599027
333,1600000,1900.0,41.3931697,2.1603063
334,425000,1973.0,41.3984806,2.1639818
336,1400000,1940.0,41.3997864,2.1697005
338,365000,1936.0,41.4031215,2.1720318
339,875000,1936.0,41.3927056,2.1677481
341,995000,1895.0,41.3948001,2.1659279
342,995000,1895.0,41.3948001,2.1659279
343,450000,2002.0,41.3899468,2.1663576
344,790000,2016.0,41.4041800,2.1730300
345,1495000,1903.0,41.3945113,2.1583044
346,859000,1920.0,41.3966147,2.1715215
349,460000,1930.0,41.4016537,2.1702380
351,6000000,1960.0,41.3971079,2.1640594
352,430000,1972.0,41.3977980,2.1736540
353,730000,1930.0,41.3950081,2.1607547
355,2750000,1988.0,41.3957352,2.1652518
356,2300000,1936.0,41.3949427,2.1583636
357,990000,1900.0,41.3922500,2.1679100
360,359000,1973.0,41.3974579,2.1633790
361,978000,1918.0,41.3868471,2.1635949
363,1700000,1920.0,41.3907509,2.1682964
364,250000,1964.0,41.3994958,2.1651567
365,750000,2005.0,41.3941314,2.1609885
366,499000,1930.0,,
367,285000,1936.0,41.3793098,2.1500549
368,571500,1930.0,41.3985691,2.1747571
369,650000,1900.0,41.3900680,2.1704970
371,685750,1930.0,41.3958160,2.1601797
372,445000,1972.0,41.3966838,2.1723127
373,990000,1964.0,41.3938260,2.1584539
375,290000,1974.0,41.4002550,2.1677931
377,355000,1936.0,41.3994115,2.1728102
378,790000,1920.0,41.3918913,2.1657393
380,2660000,1939.0,41.3914000,2.1697800
383,995000,2020.0,41.3914040,2.1786070
385,499000,1985.0,41.3968086,2.1785790
388,1530000,1900.0,41.3909523,2.1738957
389,1830000,1930.0,41.3911371,2.1634999
390,425000,1900.0,41.3905419,2.1631063
393,849000,1950.0,41.3985714,2.1676451
394,3650000,1900.0,41.3989000,2.1676500
395,949000,1945.0,41.3890837,2.1686226
396,950000,1898.0,41.3973650,2.1708914
397,370000,1969.0,41.3991503,2.1654192
398,470000,1977.0,41.3943025,2.1692133
399,1230800,2006.0,41.3953210,2.1604752
401,930000,1925.0,41.3957810,2.1651913
402,380000,1969.0,41.3984675,2.1663803
403,900000,1936.0,41.3956610,2.1682391
405,318000,1970.0,41.3972523,2.1743230
408,459000,1900.0,41.3981302,2.1693743
411,965000,1940.0,41.3989600,2.1683400
415,695000,1910.0,41.3973000,2.1659600
418,492000,1980.0,41.3967420,2.1769256
419,1530000,1900.0,41.3909523,2.1738957
420,685750,1930.0,41.3963603,2.1596512
422,1130000,1920.0,41.3934770,2.1673470
423,920000,1965.0,41.3971000,2.1677200
424,267500,1900.0,41.3932584,2.1755050
426,685750,1930.0,41.3949016,2.1579060
427,445000,1890.0,41.3871977,2.1658344
428,687000,1900.0,41.3912412,2.1735332
429,735000,1900.0,41.3913020,2.1643080
432,1050000,1880.0,41.3942860,2.1592984
439,2300000,1998.0,41.3904269,2.1665325
440,680000,1900.0,41.3879170,2.1699187
441,2550000,1890.0,41.3879805,2.1701411
442,450000,1954.0,41.3978988,2.1692245
445,895000,1900.0,41.3908539,2.1725871
448,680000,1960.0,41.3916000,2.1682200
451,420000,1967.0,41.3992300,2.1712800
453,571500,1930.0,41.3982906,2.1751163
454,368000,1963.0,41.3912585,2.1753771
455,990000,1910.0,41.3973581,2.1656722
457,750000,1953.0,41.3856900,2.1688700
459,790000,1934.0,41.3953677,2.1704138
460,473000,2003.0,41.3831200,2.1796700
461,599000,1900.0,41.3880609,2.1678387
466,1990000,2000.0,41.3954835,2.1658550
472,375000,1973.0,41.3986769,2.1646882
474,1400000,1900.0,41.3917966,2.1775521
475,1550000,1910.0,41.3978100,2.1669800
477,545000,1890.0,41.3930610,2.1578541
481,330000,1961.0,41.4014560,2.1702398
485,335000,1970.0,41.3972900,2.1744600
491,1875000,1902.0,41.3908000,2.1747100
492,1085000,1887.0,41.3914240,2.1670510
493,1485000,1900.0,41.3913900,2.1627500
494,370000,1969.0,41.3987700,2.1660500
497,1200000,1886.0,41.3902849,2.1617931
498,1550000,1900.0,41.3917700,2.1792400
499,1325000,1886.0,41.3899616,2.1660438
501,699000,2019.0,41.4026671,2.1678029
502,1225000,1940.0,41.3974833,2.1729228
506,795000,2001.0,41.3902542,2.1620831
507,850000,2004.0,41.3917500,2.1759800
508,330000,1930.0,41.4011643,2.1706966
509,995000,1900.0,,
510,2550000,1890.0,41.3896790,2.1674600
512,590000,2019.0,41.3914564,2.1574757
513,760000,1900.0,41.3893200,2.1635200
514,1080000,1936.0,,
515,955000,1930.0,,
516,795000,2011.0,41.3874107,2.1700227
517,1395000,1900.0,,
518,650000,2002.0,41.3943024,2.1739932
522,12000000,2006.0,41.3953290,2.1604800
523,2695000,1939.0,41.3911300,2.1701300
525,425000,2010.0,41.4005443,2.1648484
526,400000,1964.0,41.3970000,2.1623900
527,1245000,1879.0,41.3908157,2.1670778
528,640000,1900.0,41.3894610,2.1625980
529,2650000,1900.0,41.3931880,2.1737300
530,650000,1910.0,41.3973700,2.1670600
532,2200000,1920.0,41.3947700,2.1621700
